id,module,field_family,ppo_purpose,myob_screen_candidate,myob_field_candidate,myob_usage_status,myob_observed_screen,myob_observed_field,api_entity_path,api_status,vendor_example_path,ppo_destination,ppo_destination_status,company_context,data_type,required_when,allowed_values,units_currency,authority,direction,validation,transform,evidence_status,evidence_ref,verified_at,approved_by,approval_ref,source_ids,discovery_question,next_action
MYOB-040,Projects,Task and cost dimensions,Connect greenhouse work packages to approved cost dimensions.,Project tasks — to confirm,Task / cost code / account group,Unknown — not observed,,,,Not verified,,Work-package-to-ERP-dimension crosswalk,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified reference,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,Reject invalid project/task combinations; phase labels are not accounting keys.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is task and cost dimensions used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-041,Engineering,Released scope and drawing reference,Bind procurement and installation to the correct technical issue.,No direct ERP equivalent established,Release / document / revision link,Unknown — not observed,,,,Not verified,,Engineering release + document manifest,Logical contract boundary,Connection + tenant/company + entity + external key; branch where required,Immutable reference,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",PPO candidate,PPO only / link,Native CAD dependencies remain in authoring tools; commercial order does not approve design.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is released scope and drawing reference used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-042,Projects,Commitments and actual costs,Explain financial position without double counting orders and invoices.,Project transactions — to confirm,Open commitment / posted actual / source status,Unknown — not observed,,,,Not verified,,Project financial observations,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Exact money + definition,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,"D-017 defines grain, cancellations, receipts and cutoffs; no inferred margin formula.",Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is commitments and actual costs used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-043,Projects,Budget and variation references,Trace agreed commercial scope separately from forecasts.,Project budgets / transactions — to confirm,Budget version / approved variation / accounting reference,Unknown — not observed,,,,Not verified,,Project commercial-baseline crosswalk,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Versioned reference + money,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,An approved PPO variation does not prove a MYOB budget update or invoice.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is budget and variation references used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-044,Supply Chain,Purchase order and line identity,Relate material demand to an actual commitment.,Purchase orders — to confirm,Type / number / line / status,Unknown — not observed,,,,Not verified,,Procurement observation.purchase_order_line,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified header and line key,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,"Preserve partial delivery, cancellation and closed-line meaning; use exact line keys.",Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is purchase order and line identity used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-045,Supply Chain,Promised and received quantities,"Distinguish supplier promise, forecast arrival and received goods.",Purchase orders / receipts — to confirm,Promise date / received quantity / receipt key,Unknown — not observed,,,,Not verified,,Inbound supply observation,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Dates + exact quantity,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB candidate,MYOB → PPO,A promised date does not establish receipt or dispatch readiness.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is promised and received quantities used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-046,Supply Chain,Lot or serial traceability,"Retain relevant traceability for controllers, pumps or batches.",Inventory receipt/issue — to confirm,Lot / serial / quantity / item,Unknown — not observed,,,,Not verified,,Material traceability crosswalk,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified reference,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Verify tracking class; do not invent mandatory serials for every product.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is lot or serial traceability used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-047,Finance,Sales order and line identity,Track order status separately from quote or invoice.,Sales orders — to confirm,Order type / number / line / status,Unknown — not observed,,,,Not verified,,Commercial source.sales_order_line,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified header and line key,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,"Order quantity, dispatched quantity and invoiced quantity require separate fields.",Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is sales order and line identity used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-048,Finance,Invoice identity and status,Display the actual transaction and release state.,Invoices — to confirm,Document type / reference / status,Unknown — not observed,,,,Not verified,,Customer account observation.transaction_identity,Logical contract family,Connection + tenant/company + entity + external key; branch where required,Qualified reference + source enum,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Keep document type in the key; no invoice from an unverified predicted number.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is invoice identity and status used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-049,Finance,Invoice dates and amount,Show original invoice value with its currency and basis.,Invoices — to confirm,Document/due date / currency / original amount,Unknown — not observed,,,,Not verified,,Customer account observation.dates_and_original_amount,Logical contract family,Connection + tenant/company + entity + external key; branch where required,Date + exact money,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Date-only stays date-only; invoice original is not remaining balance.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is invoice dates and amount used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-050,Finance,Remaining amount,Show outstanding amount from the verified source definition.,Receivables — to confirm,Authoritative remaining amount / as-at,Unknown — not observed,,,,Not verified,,Customer account observation.remaining_amount,Logical contract family,Connection + tenant/company + entity + external key; branch where required,Exact money + cutoff,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Never calculate account total from the currently visible or incomplete page.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is remaining amount used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-051,Finance,Target line reconciliation,Match each approved allocation to its processing outcome.,Transaction details — to confirm,Document type / reference / line / quantity / UOM,Unknown — not observed,,,,Not verified,,Finance handoff target-line mapping,Logical contract,Connection + tenant/company + entity + external key; branch where required,Qualified line + exact quantities,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Line splits/combines require explicit allocations; do not reconcile by grand total alone.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is target line reconciliation used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-052,Finance,Applied payments and credits,Explain changed outstanding amount with application lineage.,Payments / applications — to confirm,Application key / applied amount / reversal,Unknown — not observed,,,,Not verified,,Customer account observation.applications,Logical contract family,Connection + tenant/company + entity + external key; branch where required,Qualified reference + exact money,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Payment received and applied payment differ; retain reversed applications.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is applied payments and credits used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-053,Finance,Deposits and unapplied cash,Display unallocated cash separately.,Receipts / prepayments — to confirm,Unapplied receipt / deposit amount,Unknown — not observed,,,,Not verified,,Customer account observation.unapplied_cash,Logical contract family,Connection + tenant/company + entity + external key; branch where required,Exact money + source status,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Do not net against an invoice without an authoritative application.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is deposits and unapplied cash used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-054,Finance,Credit and reversal lineage,Explain corrections while retaining original evidence.,Credit/adjustment documents — to confirm,Original document / successor / reversal status,Unknown — not observed,,,,Not verified,,Financial correction link,Logical contract family,Connection + tenant/company + entity + external key; branch where required,Qualified linked references,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,A report correction or local deletion does not reverse a financial transaction.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is credit and reversal lineage used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-055,Finance,Financial definition and source time,Make every financial observation assessable.,Query/export context — to confirm,Scope / cutoff / counts / completeness / definitions,Unknown — not observed,,,,Not verified,,Import-run and financial-definition references,Logical contract family,Connection + tenant/company + entity + external key; branch where required,Timestamps + versioned metadata,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB + PPO run metadata,MYOB → PPO,UTC observed time differs from source-as-at; unknown values stay unknown.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is financial definition and source time used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-056,Service,Warranty/return authorisation,"Keep technical finding, return, credit and supplier recovery linked.",Returns / service claims — to confirm,Return authorisation / disposition / coverage,Unknown — not observed,,,,Not verified,,Warranty/return case external references,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified references + decisions,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,Each consequence requires its own owner/evidence; one does not imply the others.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is warranty/return authorisation used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-057,Supply Chain,Supplier recovery and return receipt,Trace physical return and commercial recovery separately.,Vendor returns / credits — to confirm,Return receipt / supplier claim / credit,Unknown — not observed,,,,Not verified,,Return and recovery crosswalk,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified references + quantities,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB candidate,MYOB → PPO,No supplier credit is inferred from acceptance of a customer warranty claim.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is supplier recovery and return receipt used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-058,CRM,Qualification and next activity,Preserve PPO sales follow-up while MYOB remains ERP.,No ERP equivalent required for this edition,Relationship enrichment / next action,Unknown — not observed,,,,Not verified,,Opportunity qualification + Activity,Logical contract boundary,Connection + tenant/company + entity + external key; branch where required,Owned workflow data,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",PPO candidate,PPO only / link,No automatic ERP account/order creation; owner transfer preserves history.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is qualification and next activity used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-059,Shared,Document identity and source revision,Reach exact controlled business evidence.,Document/attachment link — to confirm,Source file identifier / revision,Unknown — not observed,,,,Not verified,,DocumentReference + issue manifest,Logical contract,Connection + tenant/company + entity + external key; branch where required,Stable provider key + version/hash,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",SharePoint,Link only,Do not use a filename as primary key; enforce source permissions and approved distribution.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-01,"Is document identity and source revision used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-060,Shared,Audit and correlation identity,"Trace who requested, processed and reconciled an action.",Command/import context — to confirm,External correlation / request evidence,Unknown — not observed,,,,Not verified,,Operation receipt + source mapping audit,Logical contract,Connection + tenant/company + entity + external key; branch where required,UUID + qualified external reference,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",PPO candidate,PPO only / link,Record minimum redacted diagnostics; external idempotency support must be proven.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-01,"Is audit and correlation identity used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
